Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Commercial status,IUCN status,Oceanographic province,Method type,Year of collection,Publication year,Reference,Polymer identification,Blanks used,Clean lab procedures,Size detection threshold (mm),Degree of prior sampling,Plastic FO in PICES region,Residency,Distribution in PICES region,Distribution globally,Already an indicator?,Threat of human exposure,Total bioindicator score,Notes
Planiliza haematocheilus,So-iuy mullet,Mugiliformes,Mugilidae,2.5,9,10,0.9,3.7,pelagic-neritic,,Not assessed,CHIN,3,2017,2019,Ding et al. 2019a,FTIR,lab blank,yes,7.00E-04,2,4,4,1,3,2,3,19,
Sillago sihama ,Silver sillago,Perciformes,Sillaginidae,3.3,NA,5,NA,NA,reef-associated,,LC,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,2,4,4,1,3,2,3,19,
Solea ovata,Ovate sole,Pleuronectiformes,Soleidae,3.5,1,1,1,NA,demersal,,Not assessed,CHIN,3,,2020,Huang et al. 2020,FTIR,lab blank,yes,0.02,2,4,4,1,3,2,3,19,
Psenopsis anomala,Pacific rudderfish,Perciformes,Centrolophidae,4,NA,51,NA,0.098,benthopelagic,,LC,CHIN,3,,2020,Koongolla et al. 2020,FTIR,lab blank,yes,0.02,3,3,4,1,3,2,3,19,
Harpadon nehereus,Bombay-duck,Aulopiformes,Synodontidae,4.2,2,10,0.2,0.3,benthopelagic,,Not assessed,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,3,3,4,1,3,2,3,19,Are these eaten whole? Should check
Acanthogobius flavimanus,Yellowfin goby,Perciformes,Gobiidae,3.4,12,18,0.666666667,0.11,demersal,commercial,LC,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,4,4,1,3,2,3,19,
Polydactylus sexfilis,Sixfinger threadfin,Perciformes,Sciaenidae,3.4,9,15,0.6,0.2,reef-associated,commercial,Not assessed,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,4,4,1,3,2,3,19,
Sillago sihama ,Silver sillago ,Perciformes,Sillaginidae,3.3,8,17,0.470588235,0.36,reef-associated,,LC,CHIN,3,,2020,Lin et al. 2020,FTIR,lab blank,yes,0.02,2,4,4,1,3,2,3,19,
Sebastiscus marmoratus,False kelpfish,Scorpaeniformes,Sebastidae,3.7,3,3,1,3.3,demersal,commercial,Not assessed,CHIN,3,,2020,Zhang et al. 2020b,FTIR,lab blank,yes,0.0045,2,4,4,1,3,2,3,19,
Inegocia japonica,Flathead,Scorpaeniformes,Platycephalidae,3.7,26,55,0.472727273,1.509090909,demersal,,LC,CHIN,3,2015,2019,Chan et al. 2019,FTIR,lab blank,yes,0.02,3,3,4,1,3,2,2,18,
